K,valid_score,test_score,lr,num_layers,hidden_size
0.0,0.858206267467027,0.0,0.01,2.0,256.0
0.0,0.915420684641967,0.0,0.01,2.0,512.0
0.0,0.9433508517699207,0.0,0.01,2.0,1024.0
0.0,0.9433508517699207,0.8964123002125003,0.01,2.0,1024.0
1.0,0.8530515481304378,0.0,0.01,2.0,256.0
1.0,0.9096816299020398,0.0,0.01,2.0,512.0
1.0,0.940871764001416,0.0,0.01,2.0,1024.0
1.0,0.940871764001416,0.9844594653729349,0.01,2.0,1024.0
2.0,0.8890159697773886,0.0,0.01,2.0,256.0
2.0,0.9528289252343234,0.0,0.01,2.0,512.0
2.0,0.9819530466801567,0.0,0.01,2.0,1024.0
2.0,0.9819530466801567,0.9322733631307789,0.01,2.0,1024.0
3.0,0.878463904937395,0.0,0.01,2.0,256.0
3.0,0.9390410907805125,0.0,0.01,2.0,512.0
3.0,0.9691201554174876,0.0,0.01,2.0,1024.0
3.0,0.9691201554174876,0.9781746711561163,0.01,2.0,1024.0
4.0,0.8737137544165965,0.0,0.01,2.0,256.0
4.0,0.9327878590134551,0.0,0.01,2.0,512.0
4.0,0.9612751201243498,0.0,0.01,2.0,1024.0
4.0,0.9612751201243498,0.8969993969682056,0.01,2.0,1024.0
5.0,0.8622437667847248,0.0,0.01,2.0,256.0
5.0,0.9245628968726496,0.0,0.01,2.0,512.0
5.0,0.9582782449353497,0.0,0.01,2.0,1024.0
5.0,0.9582782449353497,0.9611661541965607,0.01,2.0,1024.0
6.0,0.8659857891292375,0.0,0.01,2.0,256.0
6.0,0.9260829120392848,0.0,0.01,2.0,512.0
6.0,0.9560802060691085,0.0,0.01,2.0,1024.0
6.0,0.9560802060691085,0.9456706678754283,0.01,2.0,1024.0
7.0,0.8522481755230514,0.0,0.01,2.0,256.0
7.0,0.9198486210667634,0.0,0.01,2.0,512.0
7.0,0.958117477602529,0.0,0.01,2.0,1024.0
7.0,0.958117477602529,0.978647280680102,0.01,2.0,1024.0
8.0,0.8353427878481235,0.0,0.01,2.0,256.0
8.0,0.8843857608430333,0.0,0.01,2.0,512.0
8.0,0.914041311382336,0.0,0.01,2.0,1024.0
8.0,0.914041311382336,0.9894230528346318,0.01,2.0,1024.0
9.0,0.8883512210475648,0.0,0.01,2.0,256.0
9.0,0.9473717190946436,0.0,0.01,2.0,512.0
9.0,0.976626853037784,0.0,0.01,2.0,1024.0
9.0,0.976626853037784,0.9778896667574889,0.01,2.0,1024.0
10.0,0.863414183609027,0.0,0.01,2.0,256.0
10.0,0.9189929967597499,0.0,0.01,2.0,512.0
10.0,0.9455580913271444,0.0,0.01,2.0,1024.0
10.0,0.9455580913271444,0.967718725293569,0.01,2.0,1024.0
11.0,0.8571354565501386,0.0,0.01,2.0,256.0
11.0,0.9156690244770503,0.0,0.01,2.0,512.0
11.0,0.9473616267715845,0.0,0.01,2.0,1024.0
11.0,0.9473616267715845,0.9770217336207394,0.01,2.0,1024.0
