K,valid_score,test_score,lr,num_layers,hidden_size
0.0,0.7274762426900585,0.0,0.01,4.0,8.0
0.0,0.7951845760233919,0.0,0.01,4.0,16.0
0.0,0.7521016081871346,0.0,0.01,4.0,32.0
0.0,0.7951845760233919,0.7720102163461539,0.01,4.0,16.0
1.0,0.4769279970760234,0.0,0.01,4.0,8.0
1.0,0.8093932748538012,0.0,0.01,4.0,16.0
1.0,0.7210343567251463,0.0,0.01,4.0,32.0
1.0,0.8093932748538012,0.7566105769230769,0.01,4.0,16.0
2.0,0.7166483918128654,0.0,0.01,4.0,8.0
2.0,0.5807748538011697,0.0,0.01,4.0,16.0
2.0,0.7838541666666666,0.0,0.01,4.0,32.0
2.0,0.7838541666666666,0.8040865384615384,0.01,4.0,32.0
3.0,0.5953490497076024,0.0,0.01,4.0,8.0
3.0,0.4299159356725146,0.0,0.01,4.0,16.0
3.0,0.7746253654970761,0.0,0.01,4.0,32.0
3.0,0.7746253654970761,0.8188852163461539,0.01,4.0,32.0
4.0,0.7166483918128654,0.0,0.01,4.0,8.0
4.0,0.7841739766081871,0.0,0.01,4.0,16.0
4.0,0.8276681286549707,0.0,0.01,4.0,32.0
4.0,0.8276681286549707,0.7940204326923077,0.01,4.0,32.0
5.0,0.7086531432748537,0.0,0.01,4.0,8.0
5.0,0.7648026315789473,0.0,0.01,4.0,16.0
5.0,0.741593567251462,0.0,0.01,4.0,32.0
5.0,0.7648026315789473,0.7418118990384616,0.01,4.0,16.0
6.0,0.6228070175438597,0.0,0.01,4.0,8.0
6.0,0.8053728070175439,0.0,0.01,4.0,16.0
6.0,0.791438230994152,0.0,0.01,4.0,32.0
6.0,0.8053728070175439,0.7631460336538461,0.01,4.0,16.0
7.0,0.6112938596491229,0.0,0.01,4.0,8.0
7.0,0.7526955409356726,0.0,0.01,4.0,16.0
7.0,0.7888797514619883,0.0,0.01,4.0,32.0
7.0,0.7888797514619883,0.7704326923076923,0.01,4.0,32.0
8.0,0.7326845760233919,0.0,0.01,4.0,8.0
8.0,0.7022112573099415,0.0,0.01,4.0,16.0
8.0,0.799250730994152,0.0,0.01,4.0,32.0
8.0,0.799250730994152,0.7460186298076923,0.01,4.0,32.0
9.0,0.6184667397660819,0.0,0.01,4.0,8.0
9.0,0.749406067251462,0.0,0.01,4.0,16.0
9.0,0.8026772660818714,0.0,0.01,4.0,32.0
9.0,0.8026772660818714,0.798828125,0.01,4.0,32.0
10.0,0.7200749269005847,0.0,0.01,4.0,8.0
10.0,0.7757218567251463,0.0,0.01,4.0,16.0
10.0,0.813642178362573,0.0,0.01,4.0,32.0
10.0,0.813642178362573,0.8082932692307692,0.01,4.0,32.0
11.0,0.6625548245614036,0.0,0.01,4.0,8.0
11.0,0.7830317982456141,0.0,0.01,4.0,16.0
11.0,0.7511878654970761,0.0,0.01,4.0,32.0
11.0,0.7830317982456141,0.8429987980769231,0.01,4.0,16.0
