K,valid_score,test_score,lr,num_layers,hidden_size
0.0,0.523108552631579,0.0,0.01,3.0,8.0
0.0,0.7140625,0.0,0.01,3.0,32.0
0.0,0.5532894736842106,0.0,0.01,4.0,8.0
0.0,0.594078947368421,0.0,0.01,4.0,32.0
0.0,0.7140625,0.7016096443965517,0.01,3.0,32.0
1.0,0.6025082236842105,0.0,0.01,3.0,8.0
1.0,0.6610608552631578,0.0,0.01,3.0,32.0
1.0,0.5720394736842105,0.0,0.01,4.0,8.0
1.0,0.6926809210526316,0.0,0.01,4.0,32.0
1.0,0.6926809210526316,0.6712351831896551,0.01,4.0,32.0
2.0,0.5155016447368421,0.0,0.01,3.0,8.0
2.0,0.5168996710526316,0.0,0.01,3.0,32.0
2.0,0.6048108552631579,0.0,0.01,4.0,8.0
2.0,0.7594572368421053,0.0,0.01,4.0,32.0
2.0,0.7594572368421053,0.7587890625,0.01,4.0,32.0
3.0,0.5259457236842106,0.0,0.01,3.0,8.0
3.0,0.6026726973684211,0.0,0.01,3.0,32.0
3.0,0.5819901315789473,0.0,0.01,4.0,8.0
3.0,0.6385690789473684,0.0,0.01,4.0,32.0
3.0,0.6385690789473684,0.651299838362069,0.01,4.0,32.0
4.0,0.3325657894736842,0.0,0.01,3.0,8.0
4.0,0.6614720394736843,0.0,0.01,3.0,32.0
4.0,0.5877878289473684,0.0,0.01,4.0,8.0
4.0,0.6577713815789473,0.0,0.01,4.0,32.0
4.0,0.6614720394736843,0.6417362607758621,0.01,3.0,32.0
5.0,0.5551398026315789,0.0,0.01,3.0,8.0
5.0,0.6469983552631579,0.0,0.01,3.0,32.0
5.0,0.5536595394736843,0.0,0.01,4.0,8.0
5.0,0.6627055921052631,0.0,0.01,4.0,32.0
5.0,0.6627055921052631,0.6275255926724138,0.01,4.0,32.0
6.0,0.5029194078947368,0.0,0.01,3.0,8.0
6.0,0.42405427631578946,0.0,0.01,3.0,32.0
6.0,0.6576480263157894,0.0,0.01,4.0,8.0
6.0,0.5856907894736842,0.0,0.01,4.0,32.0
6.0,0.6576480263157894,0.6628502155172413,0.01,4.0,8.0
7.0,0.5167763157894737,0.0,0.01,3.0,8.0
7.0,0.6070723684210526,0.0,0.01,3.0,32.0
7.0,0.5296875,0.0,0.01,4.0,8.0
7.0,0.6661595394736842,0.0,0.01,4.0,32.0
7.0,0.6661595394736842,0.6522090517241379,0.01,4.0,32.0
8.0,0.5394325657894737,0.0,0.01,3.0,8.0
8.0,0.5843338815789474,0.0,0.01,3.0,32.0
8.0,0.5191200657894737,0.0,0.01,4.0,8.0
8.0,0.7565378289473684,0.0,0.01,4.0,32.0
8.0,0.7565378289473684,0.7221174568965517,0.01,4.0,32.0
9.0,0.3518092105263158,0.0,0.01,3.0,8.0
9.0,0.6458470394736843,0.0,0.01,3.0,32.0
9.0,0.5284128289473684,0.0,0.01,4.0,8.0
9.0,0.765625,0.0,0.01,4.0,32.0
9.0,0.765625,0.7876144935344828,0.01,4.0,32.0
10.0,0.4155427631578947,0.0,0.01,3.0,8.0
10.0,0.6236019736842106,0.0,0.01,3.0,32.0
10.0,0.5795641447368421,0.0,0.01,4.0,8.0
10.0,0.71484375,0.0,0.01,4.0,32.0
10.0,0.71484375,0.6972992995689655,0.01,4.0,32.0
11.0,0.5672286184210527,0.0,0.01,3.0,8.0
11.0,0.4118421052631579,0.0,0.01,3.0,32.0
11.0,0.5851151315789473,0.0,0.01,4.0,8.0
11.0,0.7336759868421053,0.0,0.01,4.0,32.0
11.0,0.7336759868421053,0.7628636853448276,0.01,4.0,32.0
